Local time,Ask,Bid,AskVolume,BidVolume
06.06.2022 08:16:30.888 GMT+0200,8772.966,8765.966,0,0
06.06.2022 08:16:31.050 GMT+0200,8770.016,8763.016,0,0
06.06.2022 08:16:36.429 GMT+0200,8770.316,8763.316,0,0
06.06.2022 08:16:36.689 GMT+0200,8771.016,8764.016,0,0
06.06.2022 08:16:37.880 GMT+0200,8771.316,8764.316,0,0.0001
06.06.2022 08:16:38.061 GMT+0200,8772.566,8765.566,0.0001,0
06.06.2022 08:16:39.883 GMT+0200,8773.866,8766.866,0,0
06.06.2022 08:16:40.098 GMT+0200,8774.816,8767.816,0,0.0001
06.06.2022 08:16:40.762 GMT+0200,8774.416,8767.416,0,0
06.06.2022 08:16:42.010 GMT+0200,8775.016,8768.016,0,0
06.06.2022 08:16:43.870 GMT+0200,8774.466,8767.466,0,0
06.06.2022 08:17:01.187 GMT+0200,8772.866,8765.866,0,0
06.06.2022 08:17:49.239 GMT+0200,8773.566,8766.566,0,0
06.06.2022 08:17:49.491 GMT+0200,8774.016,8767.016,0,0
06.06.2022 08:17:51.193 GMT+0200,8776.126,8769.126,0,0
06.06.2022 08:18:08.457 GMT+0200,8778.126,8771.126,0,0
06.06.2022 08:18:08.585 GMT+0200,8776.516,8769.516,0,0
06.06.2022 08:18:24.629 GMT+0200,8777.016,8770.016,0,0
06.06.2022 08:18:26.777 GMT+0200,8777.516,8770.516,0,0
06.06.2022 08:18:27.030 GMT+0200,8778.626,8771.626,0,0
06.06.2022 08:18:38.701 GMT+0200,8778.416,8771.416,0,0
06.06.2022 08:18:42.049 GMT+0200,8779.516,8772.516,0,0
06.06.2022 08:18:42.569 GMT+0200,8779.816,8772.816,0,0
06.06.2022 08:18:57.606 GMT+0200,8781.466,8774.466,0,0
06.06.2022 08:18:58.224 GMT+0200,8783.416,8776.416,0,0
06.06.2022 08:18:58.417 GMT+0200,8783.016,8776.016,0,0
06.06.2022 08:19:00.568 GMT+0200,8782.366,8775.366,0,0
06.06.2022 08:19:01.057 GMT+0200,8781.816,8774.816,0,0
06.06.2022 08:19:08.869 GMT+0200,8780.816,8773.816,0,0
06.06.2022 08:19:37.453 GMT+0200,8781.416,8774.416,0,0
06.06.2022 08:19:40.677 GMT+0200,8782.016,8775.016,0,0
06.06.2022 08:20:01.188 GMT+0200,8781.516,8774.516,0,0
06.06.2022 08:20:01.473 GMT+0200,8780.466,8773.466,0,0
06.06.2022 08:20:01.694 GMT+0200,8780.816,8773.816,0,0
06.06.2022 08:20:01.869 GMT+0200,8781.366,8774.366,0,0
06.06.2022 08:20:15.607 GMT+0200,8782.066,8775.066,0,0
06.06.2022 08:20:17.201 GMT+0200,8782.566,8775.566,0,0
06.06.2022 08:20:17.334 GMT+0200,8783.516,8776.516,0,0
06.06.2022 08:20:18.716 GMT+0200,8784.626,8777.626,0,0
06.06.2022 08:20:41.247 GMT+0200,8783.366,8776.366,0,0
06.06.2022 08:20:41.487 GMT+0200,8783.626,8776.626,0,0
06.06.2022 08:20:49.138 GMT+0200,8783.566,8776.566,0,0
06.06.2022 08:20:55.970 GMT+0200,8783.066,8776.066,0,0
06.06.2022 08:20:59.342 GMT+0200,8783.566,8776.566,0,0
06.06.2022 08:21:00.494 GMT+0200,8783.016,8776.016,0,0
06.06.2022 08:22:10.830 GMT+0200,8782.516,8775.516,0,0
06.06.2022 08:22:15.714 GMT+0200,8782.066,8775.066,0,0
06.06.2022 08:22:55.927 GMT+0200,8781.316,8774.316,0,0
06.06.2022 08:22:56.118 GMT+0200,8780.366,8773.366,0,0
06.06.2022 08:22:58.735 GMT+0200,8779.416,8772.416,0,0
06.06.2022 08:22:58.885 GMT+0200,8778.016,8771.016,0,0.0001
06.06.2022 08:22:59.831 GMT+0200,8778.366,8771.366,0,0.0001
06.06.2022 08:23:00.036 GMT+0200,8779.466,8772.466,0,0
06.06.2022 08:23:00.725 GMT+0200,8780.626,8773.626,0,0
06.06.2022 08:23:00.946 GMT+0200,8779.466,8772.466,0,0
06.06.2022 08:23:01.315 GMT+0200,8778.966,8771.966,0,0
06.06.2022 08:23:01.518 GMT+0200,8778.516,8771.516,0,0
06.06.2022 08:23:06.489 GMT+0200,8777.126,8770.126,0,0
06.06.2022 08:23:06.875 GMT+0200,8776.816,8769.816,0,0.0001
06.06.2022 08:23:10.836 GMT+0200,8776.466,8769.466,0,0.0001
06.06.2022 08:23:16.937 GMT+0200,8777.016,8770.016,0,0.0001
06.06.2022 08:24:13.087 GMT+0200,8776.466,8769.466,0,0.0001
06.06.2022 08:24:13.540 GMT+0200,8776.866,8769.866,0,0.0001
06.06.2022 08:24:46.363 GMT+0200,8777.416,8770.416,0,0.0001
06.06.2022 08:24:54.679 GMT+0200,8777.066,8770.066,0,0.0001
06.06.2022 08:25:25.497 GMT+0200,8777.966,8770.966,0,0.0001
06.06.2022 08:25:25.755 GMT+0200,8777.626,8770.626,0,0.0001
06.06.2022 08:25:26.097 GMT+0200,8778.126,8771.126,0,0.0001
06.06.2022 08:25:26.622 GMT+0200,8778.626,8771.626,0,0.0001
06.06.2022 08:25:29.480 GMT+0200,8777.566,8770.566,0,0.0001
06.06.2022 08:25:42.010 GMT+0200,8778.516,8771.516,0,0
06.06.2022 08:26:29.691 GMT+0200,8774.516,8767.516,0,0
06.06.2022 08:26:29.829 GMT+0200,8776.126,8769.126,0,0
06.06.2022 08:26:34.987 GMT+0200,8776.626,8769.626,0,0.0001
06.06.2022 08:26:35.241 GMT+0200,8776.516,8769.516,0,0
06.06.2022 08:26:36.697 GMT+0200,8777.016,8770.016,0,0
06.06.2022 08:27:06.586 GMT+0200,8776.416,8769.416,0,0.0001
06.06.2022 08:27:15.412 GMT+0200,8776.866,8769.866,0,0.0001
06.06.2022 08:27:21.662 GMT+0200,8776.416,8769.416,0,0.0001
06.06.2022 08:28:00.338 GMT+0200,8776.626,8769.626,0,0
06.06.2022 08:28:00.519 GMT+0200,8775.316,8768.316,0,0
06.06.2022 08:28:31.560 GMT+0200,8775.966,8768.966,0,0
06.06.2022 08:28:32.493 GMT+0200,8776.366,8769.366,0.0001,0
06.06.2022 08:29:34.436 GMT+0200,8776.866,8769.866,0,0
06.06.2022 08:29:34.760 GMT+0200,8778.626,8771.626,0,0
06.06.2022 08:29:50.605 GMT+0200,8778.366,8771.366,0,0
06.06.2022 08:29:56.593 GMT+0200,8779.016,8772.016,0,0
06.06.2022 08:30:02.306 GMT+0200,8779.966,8772.966,0,0
06.06.2022 08:30:11.561 GMT+0200,8780.966,8773.966,0,0.0001
06.06.2022 08:30:16.930 GMT+0200,8781.366,8774.366,0,0
06.06.2022 08:30:59.213 GMT+0200,8781.966,8774.966,0,0
06.06.2022 08:30:59.321 GMT+0200,8782.316,8775.316,0,0
